,symbol,marketCap,priceToBook,profitMargin,revenue,bookToPrice,BookValue,s1,s2,s3
0,A,40221320190,8.35,0.1485651934037461,5691122349.0,0.11976047904191617,4816924573.652695,0.06201707643579441,0.14167703104295104,0.0
1,AAL,14738367831,-1.9,-0.6420438794797764,13131368141.0,-0.5263157894736842,-7757035700.526316,0.0,0.0,0.0
2,AAP,13133516118,3.77,0.05118084615400338,10127947933.0,0.26525198938992045,3483691277.984085,0.04485192677651145,0.12048538088930597,0.0
3,AAPL,2110400168844,30.24,0.2347773711345345,333033492577.0,0.033068783068783074,69788365371.82541,0.8985132159359618,0.5392697225466112,0.0
4,ABBV,203674054508,15.3,0.1055622006320364,52119457452.0,0.06535947712418301,13312029706.40523,0.17139009573315017,0.2355248106809288,0.0
5,ABC,25045429835,-86.83,-0.01949682075927921,200938600060.0,-0.011516756881262236,-288442126.39640677,0.0,0.0,0.0
6,ABMD,12695145584,10.01,0.24822786320777723,848964547.0,0.0999000999000999,1268246312.087912,0.016328453409127718,0.0726969730936002,0.0
7,ABT,213676874711,6.23,0.1603018243477226,37958611538.0,0.16051364365971107,34298053725.682182,0.4415815500078824,0.3780500174789331,0.0
8,ACN,193491068361,10.4,0.1221647093355787,47863178158.0,0.09615384615384615,18604910419.32692,0.23953502570241766,0.27843787842366163,0.0
9,ADBE,232964874000,17.45,0.42401242722048443,14030105393.0,0.05730659025787966,13350422578.796562,0.17188439737007147,0.23586420158508303,0.0
10,ADI,58214318717,4.57,0.2466391039357909,6100894968.0,0.2188183807439825,12738362957.768053,0.1640042348887635,0.2303940896937989,0.0
11,ADM,37695845592,1.8,0.031605907780076575,70545143973.0,0.5555555555555556,20942136440.0,0.2696264092305378,0.295409880319451,0.0
12,ADP,83543104182,14.78,0.17237873481059443,15087031808.0,0.06765899864682003,5652442772.801083,0.07277422972474248,0.15347322222270096,0.0
13,ADSK,60278595196,63.75,0.3223010093150514,3953663563.0,0.01568627450980392,945546591.309804,0.01217374993737923,0.06277055823967179,0.0
14,AEE,21638421163,2.39,0.16188916320512284,6032149343.0,0.41841004184100417,9053732704.1841,0.11656525331864594,0.19423538850985872,0.0
15,AEP,43513914194,2.08,0.14838433975204562,16129351253.0,0.4807692307692307,20920151054.80769,0.2693433511728303,0.2952547766249926,0.0
16,AES,16966873712,5.12,-0.0254476498726838,10403814172.0,0.1953125,3313842521.875,0.04266515321817979,0.11751152368816946,0.0
17,AFL,38092845900,1.21,0.2398701464307366,24688669688.0,0.8264462809917356,31481690826.44628,0.4053213614742677,0.36219591602741646,1.5251130852791628
18,AIG,43358625959,0.7083,-0.09078734506866457,44459934029.0,1.4118311449950585,61215058533.10744,0.7881333631077686,0.5050607960063498,6.477105873644424
19,AIV,981887388,2.11,-0.03410527048436901,152971061.0,0.47393364928909953,465349472.985782,0.005991294527086921,0.04403562224601863,0.0
20,AIZ,9487798889,1.69,0.04436000619405643,10255416130.0,0.591715976331361,5614082182.840237,0.07228034371856823,0.15295155873329166,0.03927394342363674
21,AJG,30784490371,4.64,0.1199887890669207,7650008261.0,0.21551724137931036,6634588442.025863,0.08541918650329745,0.16627291790049617,0.0
22,AKAM,18986519229,4.35,0.18628393345542307,3401263502.0,0.2298850574712644,4364717064.137932,0.05619498243087397,0.1348629243340856,0.0
23,ALB,18460827147,3.36,0.11331992257040711,3299053499.0,0.2976190476190476,5494293793.75,0.0707380887862481,0.15131098679450047,0.0
24,ALGN,45711573790,13.3,0.16396525574232074,2942593423.0,0.07518796992481203,3436960435.3383455,0.044250275204858906,0.11967454657963703,0.0
25,ALK,8959718613,3.16,-0.4528669432375236,2810186679.0,0.3164556962025316,2835353991.455696,0.036504695583659964,0.108697152773861,0.0
